slide_id,resolution,process,status,seg_level,sthresh,mthresh,close,use_otsu,a_t,a_h,max_n_holes,vis_level,line_thickness,use_padding,contour_fn,black_thresh,clip_min,clip_max,bag_size
c023-A,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c024-B,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c025-C,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c025-F,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c026-B,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c026-F,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c027-D,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c027-E,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c028-A,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c029-B,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c030-C,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c031-B,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c031-D,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c031-E,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c031-F,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c032-A,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c032-C,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c033-C,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c033-E,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c034-B,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c034-D,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c034-F,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c035-A,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c035-B,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,3000,0
c035-C,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c035-F,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c036-D,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c036-F,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c037-B,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c037-C,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c037-D,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c038-D,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
